Symbol,Year,Name,Country,Category,Market cap,Revenue,Earnings
HO.PA,2006,Thales,France,Defense contractors|CAC 40,$8.57 B,$13.56 B,$0.75 B
HO.PA,2007,Thales,France,Defense contractors|CAC 40,$11.62 B,$17.95 B,$1.61 B
HO.PA,2008,Thales,France,Defense contractors|CAC 40,$8.12 B,$17.70 B,$0.98 B
HO.PA,2009,Thales,France,Defense contractors|CAC 40,$10.06 B,$18.45 B,-$0.41 B
HO.PA,2010,Thales,France,Defense contractors|CAC 40,$6.80 B,$17.45 B,-$0.33 B
HO.PA,2011,Thales,France,Defense contractors|CAC 40,$6.28 B,$16.88 B,$1.04 B
HO.PA,2012,Thales,France,Defense contractors|CAC 40,$6.92 B,$18.72 B,$1.24 B
HO.PA,2013,Thales,France,Defense contractors|CAC 40,$13.13 B,$17.53 B,$1.25 B
HO.PA,2014,Thales,France,Defense contractors|CAC 40,$11.27 B,$15.77 B,$1.32 B
HO.PA,2015,Thales,France,Defense contractors|CAC 40,$15.87 B,$15.37 B,$1.21 B
HO.PA,2016,Thales,France,Defense contractors|CAC 40,$20.54 B,$15.66 B,$1.43 B
HO.PA,2017,Thales,France,Defense contractors|CAC 40,$22.73 B,$18.28 B,$1.26 B
HO.PA,2018,Thales,France,Defense contractors|CAC 40,$24.79 B,$18.13 B,$1.61 B
HO.PA,2019,Thales,France,Defense contractors|CAC 40,$22.05 B,$20.61 B,$1.74 B
HO.PA,2020,Thales,France,Defense contractors|CAC 40,$19.61 B,$18.90 B,$0.74 B
HO.PA,2021,Thales,France,Defense contractors|CAC 40,$18.03 B,$18.33 B,$1.41 B
HO.PA,2022,Thales,France,Defense contractors|CAC 40,$26.97 B,$18.81 B,$1.55 B
HO.PA,2023,Thales,France,Defense contractors|CAC 40,$30.71 B,,
HON,2001,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$27.66 B,$23.65 B,$0.15 B
HON,2002,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$20.50 B,$22.27 B,$1.90 B
HON,2003,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$28.82 B,$23.10 B,$1.91 B
HON,2004,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$30.09 B,$25.60 B,$1.70 B
HON,2005,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$30.89 B,$27.65 B,$2.48 B
HON,2006,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$36.21 B,$31.36 B,$3.06 B
HON,2007,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$45.96 B,$34.58 B,$3.72 B
